player,games_played,cards_lost,games_won,games_fried,net_score,cards_lost_avg,games_won_pc,games_fried_pc,net_score_avg,regular
C,1000,3474,233,32,2843,3.47,23.3,3.2,2.84,True
H,759,3105,193,37,136,4.09,25.4,4.9,0.18,True
T,477,1952,130,23,-39,4.09,27.3,4.8,-0.08,True
S,621,2688,165,32,-150,4.33,26.6,5.2,-0.24,True
Js,400,1790,91,18,-912,4.47,22.8,4.5,-2.28,True
Jj,479,2258,121,33,-435,4.71,25.3,6.9,-0.91,True
L,338,1696,88,29,-866,5.02,26.0,8.6,-2.56,True
CA,17,41,5,0,51,2.41,29.4,0.0,3.0,False
DC,6,15,2,0,7,2.5,33.3,0.0,1.17,False
LS,7,18,2,0,-8,2.57,28.6,0.0,-1.14,False
CD,3,9,0,0,-4,3.0,0.0,0.0,-1.33,False
JL,23,80,7,1,68,3.48,30.4,4.3,2.96,False
JG,71,247,20,2,145,3.48,28.2,2.8,2.04,False
JD,12,43,0,0,-6,3.58,0.0,0.0,-0.5,False
AW,20,80,4,1,-112,4.0,20.0,5.0,-5.6,False
MW,118,580,27,8,-371,4.92,22.9,6.8,-3.14,False
JP,45,234,13,5,-106,5.2,28.9,11.1,-2.36,False
RH,4,23,0,0,-45,5.75,0.0,0.0,-11.25,False
LL,9,60,2,1,-50,6.67,22.2,11.1,-5.56,False
A,7,89,1,2,-146,12.71,14.3,28.6,-20.86,False
*,4416,18482,1104,224,0,4.19,25.0,5.1,0.0,
